American University (Washington, DC)
Claremont McKenna College (Claremont, CA)
Dartmouth College (Hanover, NH)
Franklin & Marshall College (Lancaster, PA)
Georgetown University (Washington, DC)
Gettysburg College (Gettysburg, PA)
Harvard University (Cambridge, MA)
Northwestern University (Evanston, IL)
Rice University (Houston, TX)
The George Washington University (Washington, DC)
University of Chicago (Chicago, IL)
University of Notre Dame (Notre Dame, IN)
Willamette University (Salem, OR)
Yale University (New Haven, CT)
Amherst College (Amherst, MA)
Bates College (Lewiston, ME)
Boston College (Chestnut Hill, MA)
Bowdoin College (Brunswick, ME)
Colby College (Waterville, ME)
Colgate University (Hamilton, NY)
Dickinson College (Carlisle, PA)
Drew University (Madison, NJ)
Duke University (Durham, NC)
Emory University (Atlanta, GA)
Hamilton College (Clinton, NY)
Johns Hopkins University (Baltimore, MD)
Middlebury College (Middlebury, VT)
Muhlenberg College (Allentown, PA)
New York University (New York, NY)
Occidental College (Los Angeles, CA)
Pomona College (Claremont, CA)
Stanford University (Stanford, CA)
Tufts University (Medford, MA)
University of California, San Diego (La Jolla, CA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Pennsylvania (Philadelphia, PA)
Wellesley College (Wellesley, MA)
Whitman College (Walla Walla, WA)
Williams College (Williamstown, MA)
