Clark University (Worcester, MA)
Franklin & Marshall College (Lancaster, PA)
Harvard University (Cambridge, MA)
Pitzer College (Claremont, CA)
Reed College (Portland, OR)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of Chicago (Chicago, IL)
Vanderbilt University (Nashville, TN)
Vassar College (Poughkeepsie, NY)
Wesleyan University (Middletown, CT)
Yale University (New Haven, CT)
Barnard College (New York, NY)
Brandeis University (Waltham, MA)
Bucknell University (Lewisburg, PA)
Carleton College (Northfield, MN)
Case Western Reserve University (Cleveland, OH)
Claremont McKenna College (Claremont, CA)
Colgate University (Hamilton, NY)
Denison University (Granville, OH)
Drew University (Madison, NJ)
Emory University (Atlanta, GA)
Grinnell College (Grinnell, IA)
Mount Holyoke College (South Hadley, MA)
New York University (New York, NY)
Northwestern University (Evanston, IL)
Pomona College (Claremont, CA)
Princeton University (Princeton, NJ)
Sonoma State University (Rohnert Park, CA)
Stanford University (Stanford, CA)
The George Washington University (Washington, DC)
Tufts University (Medford, MA)
Union College (Schenectady, NY)
University of California, San Diego (La Jolla, CA)
University of Denver (Denver, CO)
University of Iowa (Iowa City, IA)
University of Oregon (Eugene, OR)
University of Pennsylvania (Philadelphia, PA)
University of Virginia (Charlottesville, VA)
University of Washington, Seattle (Seattle, WA)
Williams College (Williamstown, MA)
