Curry College (Milton, MA)
Landmark College (Putney, VT)
The University of Arizona (Tucson, AZ)
University of Denver (Denver, CO)
Lynn University (Boca Raton, FL)
Adelphi University (Garden City, NY)
Albright College (Reading, PA)
American University (Washington, DC)
Arizona State University &#8212; Tempe Campus (Tempe, AZ)
Augsburg College (Minneapolis, MN)
Carroll University (Waukesha, WI)
College of Charleston (Charleston, SC)
Colorado State University (Fort Collins, CO)
DePaul University (Chicago, IL)
Dean College (Franklin, MA)
Eckerd College (St. Petersburg, FL)
Goucher College (Baltimore, MD)
Hampshire College (Amherst, MA)
Hastings College (Hastings, NE)
High Point University (High Point, NC)
Hofstra University (Hempstead, NY)
Iona College (New Rochelle, NY)
Lake Forest College (Lake Forest, IL)
Loras College (Dubuque, IA)
Marist College (Poughkeepsie, NY)
Marymount California University (Rancho Palos Verdes, CA)
McDaniel College (Westminster, MD)
Mercyhurst University (Erie, PA)
Mitchell College (New London, CT)
Muhlenberg College (Allentown, PA)
Muskingum University (New Concord, OH)
Ohio Wesleyan University (Delaware, OH)
Quinnipiac University (Hamden, CT)
Regis University (Denver, CO)
Rider University (Lawrenceville, NJ)
SUNY &#8212; Oswego (Oswego, NY)
SUNY &#8212; Purchase College (Purchase, NY)
Sonoma State University (Rohnert Park, CA)
Southern Methodist University (Dallas, TX)
Susquehanna University (Selinsgrove, PA)
Syracuse University (Syracuse, NY)
The University of Alabama (Tuscaloosa, AL)
The University of Tampa (Tampa, FL)
University of Colorado Colorado Springs (Colorado Springs, CO)
University of Denver (Denver, CO)
University of New Hampshire (Durham, NH)
University of Puget Sound (Tacoma, WA)
University of Redlands (Redlands, CA)
University of San Francisco (San Francisco, CA)
University of the Ozarks (Clarksville, AR)
Western Oregon University (Monmouth, OR)
Westminster College (Fulton, MO)
