Boston University (Boston, MA): **The Second Choice
Brown University (Providence, RI)
California Polytechnic State University, San Luis Obispo (San Luis Obispo, CA)
Chapman University (Orange, CA)
Claremont McKenna College (Claremont, CA)
Colorado College (Colorado Springs, CO): ***The Third Choice (tie)
Cornell University (Ithaca, NY)
Duke University (Durham, NC)
Elon University (Elon, NC)
James Madison University (Harrisonburg, VA)
Miami University &#8212; Oxford (Oxford, OH)
Middlebury College (Middlebury, VT)
Northeastern University (Boston, MA)
Northwestern University (Evanston, IL)
Pennsylvania State University &#8212; University Park (University Park, PA)
Rhodes College (Memphis, TN)
Southern Methodist University (Dallas, TX)
St. Lawrence University (Canton, NY)
Texas Christian University (Fort Worth, TX): ***The Third Choice (tie)
The University of Chicago (Chicago, IL)
Tufts University (Medford, MA)
Tulane University (New Orleans, LA)
University of Georgia (Athens, GA)
University of Miami (Coral Gables, FL)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Pittsburgh (Pittsburgh, PA)
University of Puget Sound (Tacoma, WA)
University of South Carolina &#8212; Columbia (Columbia, SC)
University of Southern California (Los Angeles, CA)
University of Virginia (Charlottesville, VA)
Vanderbilt University (Nashville, TN): ***The Third Choice (tie)
Wake Forest University (Winston Salem, NC)
Washington University in St. Louis (St. Louis, MO): *The Top Choice
Wheaton College (Norton, MA)
Yale University (New Haven, CT)
