Boston College (Chestnut Hill, MA)
Case Western Reserve University (Cleveland, OH)
Colorado College (Colorado Springs, CO)
Elon University (Elon, NC)
Georgia Institute of Technology (Atlanta, GA)
Northeastern University (Boston, MA): * Top choice for colleges that have become more selective
Santa Clara University (Santa Clara, CA)
Southern Methodist University (Dallas, TX)
Texas Christian University (Fort Worth, TX)
The University of Chicago (Chicago, IL)
Tulane University (New Orleans, LA)
University of Richmond (University of Richmond, VA)
University of Southern California (Los Angeles, CA)
Vanderbilt University (Nashville, TN)
Villanova University (Villanova, PA)
Washington University in St. Louis (St. Louis, MO)
