American University (Washington, DC)
Beacon College (Leesburg, FL)
Clark University (Worcester, MA)
Cornell College (Mount Vernon, IA)
Curry College (Milton, MA)
DePaul University (Chicago, IL)
Dean College (Franklin, MA)
Eckerd College (St. Petersburg, FL)
Fort Lewis College (Durango, CO)
Goucher College (Baltimore, MD)
High Point University (High Point, NC)
Hofstra University (Hempstead, NY)
Landmark College (Putney, VT)
Limestone College (Gaffney, SC)
Loras College (Dubuque, IA)
Marist College (Poughkeepsie, NY)
McDaniel College (Westminster, MD)
Mitchell College (New London, CT)
Muhlenberg College (Allentown, PA)
The College of Wooster (Wooster, OH)
Towson University (Towson, MD)
University of Denver (Denver, CO)
University of Wisconsin &#8212; Madison (Madison, WI)
University of the Ozarks (Clarksville, AR)
Worcester Polytechnic Institute (Worcester, MA)
Lynn University (Boca Raton, FL)
The University of Arizona (Tucson, AZ)
