Bates College (Lewiston, ME)
Boston College (Chestnut Hill, MA)
Boston University (Boston, MA)
Bowdoin College (Brunswick, ME)
Bucknell University (Lewisburg, PA)
Carleton College (Northfield, MN)
Chicago State University (Chicago, IL)
Clemson University (Clemson, SC)
Colby College (Waterville, ME)
Colgate University (Hamilton, NY)
Colorado College (Colorado Springs, CO)
Connecticut College (New London, CT)
Dartmouth College (Hanover, NH)
Davidson College (Davidson, NC)
Denison University (Granville, OH)
Duke University (Durham, NC)
Emory University (Atlanta, GA)
Florida Southern College (Lakeland, FL)
Furman University (Greenville, SC)
Georgetown University (Washington, DC)
Gettysburg College (Gettysburg, PA)
Indiana University Bloomington (Bloomington, IN)
James Madison University (Harrisonburg, VA)
Lehigh University (Bethlehem, PA)
Loyola University Maryland (Baltimore, MD)
Miami University &#8212; Oxford (Oxford, OH)
Middlebury College (Middlebury, VT)
New York University (New York, NY)
Northwestern University (Evanston, IL)
Oklahoma State University (Stillwater, OK)
Pennsylvania State University &#8212; University Park (University Park, PA)
Santa Clara University (Santa Clara, CA)
Southern Methodist University (Dallas, TX)
St. Lawrence University (Canton, NY)
Stanford University (Stanford, CA)
Syracuse University (Syracuse, NY)
Texas Christian University (Fort Worth, TX)
The College of Wooster (Wooster, OH)
Tufts University (Medford, MA)
Tulane University (New Orleans, LA)
Union College (Schenectady, NY)
University of Miami (Coral Gables, FL)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Pittsburgh (Pittsburgh, PA)
University of Portland (Portland, OR)
University of Puget Sound (Tacoma, WA)
University of Rochester (Rochester, NY)
University of Southern California (Los Angeles, CA)
University of Virginia (Charlottesville, VA)
University of Wisconsin &#8212; Madison (Madison, WI)
Vanderbilt University* (Nashville, TN): The Top Choice
Villanova University (Villanova, PA)
Wake Forest University (Winston Salem, NC)
Washington University in St. Louis (St. Louis, MO)
