Bates College (Lewiston, ME)
Boston College (Chestnut Hill, MA)
Bowdoin College (Brunswick, ME)
Brandeis University (Waltham, MA)
Brigham Young University &#8212; Provo (Provo, UT)
Chapman University (Orange, CA)
College of William and Mary (Williamsburg, VA)
College of the Holy Cross (Worcester, MA)
Earlham College (Richmond, IN)
Elon University (Elon, NC)
Flagler College (St. Augustine, FL)
Furman University (Greenville, SC)
Gonzaga University (Spokane, WA)
Gordon College (Wenham, MA)
Grove City College (Grove City, PA)
Guilford College (Greensboro, NC)
High Point University (High Point, NC)
Hillsdale College (Hillsdale, MI)
Hope College (Holland, MI)
Lawrence University (Appleton, WI)
Moravian College (Bethlehem, PA)
Muhlenberg College (Allentown, PA)
Naropa University (Boulder, CO)
Oberlin College (Oberlin, OH)
Pepperdine University (Malibu, CA)
Pitzer College (Claremont, CA)
Samford University (Birmingham, AL)
Santa Clara University (Santa Clara, CA)
Seattle University (Seattle, WA)
St. John Fisher College (Rochester, NY)
St. Olaf College (Northfield, MN)
Swarthmore College (Swarthmore, PA)
The University of the South (Sewanee, TN)
University of Notre Dame (Notre Dame, IN)
University of Richmond (University of Richmond, VA)
University of Virginia (Charlottesville, VA)
Villanova University (Villanova, PA)
Wake Forest University (Winston Salem, NC)
Washington and Lee University (Lexington, VA)
Wheaton College (Wheaton, IL)
Whitman College (Walla Walla, WA)
Wofford College (Spartanburg, SC)
Haverford College (Haverford, PA): The Top Choice
Davidson College (Davidson, NC): The Second Choice
