Austin Community College (Austin, TX)
College of William and Mary (Williamsburg, VA)
Colorado College (Colorado Springs, CO)
Creighton University (Omaha, NE)
Dickinson College (Carlisle, PA)
Fort Lewis College (Durango, CO)
Hastings College (Hastings, NE)
Howard Payne University (Brownwood, TX)
Iowa State University (Ames, IA)
Juniata College (Huntingdon, PA)
Saint Mary's College of California (Moraga, CA)
Tarleton State University (Stephenville, TX)
Taylor University (Upland, IN)
University of Colorado Boulder (Boulder, CO)
University of Nebraska &#8212; Kearney (Kearney, NE)
University of Nebraska &#8212; Lincoln (Lincoln, NE)
