Butler University (Indianapolis, IN)
Colorado State University (Fort Collins, CO)
Francis Marion University (Florence, SC)
Lebanon Valley College (Annville, PA)
Morehead State University (Morehead, KY)
Rochester Institute of Technology (Rochester, NY)
The Citadel (Charleston, SC)
Union College (Schenectady, NY)
American Jewish University (Bel Air, CA)
Barnard College (New York, NY)
Bentley University (Waltham, MA)
Blue Mountain College (Blue Mountain, MS)
Bridgewater State University (Bridgewater, MA)
CUNY &#8212; Hunter College (New York, NY)
Caldwell University (Caldwell, NJ)
Clark University (Worcester, MA)
Clemson University (Clemson, SC)
Cornell University (Ithaca, NY)
Davidson College (Davidson, NC)
Franklin & Marshall College (Lancaster, PA)
Kansas City Art Institute (Kansas City, MO)
Laguna College of Art and Design (Laguna Beach, CA)
Macalester College (St. Paul, MN)
Mississippi Valley State University (Itta Bena, MS)
North Carolina State University &#8212; Raleigh (Raleigh, NC)
Northeastern University (Boston, MA)
Pennsylvania State University &#8212; University Park (University Park, PA)
Rose&#8211;Hulman Institute of Technology (Terre Haute, IN)
Southwestern University (Georgetown, TX)
Sweet Briar College (Sweet Briar, VA)
The University of Texas at Austin (Austin, TX)
University of Florida (Gainesville, FL)
University of Notre Dame (Notre Dame, IN)
University of Oregon (Eugene, OR)
University of Richmond (University of Richmond, VA)
University of Southern Mississippi (Hattiesburg, MS)
University of Washington, Seattle (Seattle, WA)
Wake Forest University (Winston-Salem, NC)
Waynesburg University (Waynesburg, PA)
West Liberty University (West Liberty, WV)
Yale University (New Haven, CT)
