American University (Washington, DC)
Boston University (Boston, MA)
Brandeis University (Waltham, MA)
Claremont McKenna College (Claremont, CA)
Clark University (Worcester, MA)
Dickinson College (Carlisle, PA)
George Mason University (Fairfax, VA)
Georgetown University (Washington, DC)
Goucher College (Baltimore, MD)
Johns Hopkins University (Baltimore, MD)
Macalester College (St. Paul, MN)
Occidental College (Los Angeles, CA)
The George Washington University (Washington, DC)
Tufts University (Medford, MA)
University of South Carolina &#8212; Columbia (Columbia, SC)
