Brandeis University (Waltham, MA)
Clark University (Worcester, MA)
Colgate University (Hamilton, NY)
Duke University (Durham, NC)
Harvard University (Cambridge, MA)
Mount Holyoke College (South Hadley, MA)
New York University (New York, NY)
Northwestern University (Evanston, IL)
Pitzer College (Claremont, CA)
Princeton University (Princeton, NJ)
Reed College (Portland, OR)
Stanford University (Stanford, CA)
The George Washington University (Washington, DC)
The University of Chicago (Chicago, IL)
Tufts University (Medford, MA)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of Denver (Denver, CO)
University of Iowa (Iowa City, IA)
University of Oregon (Eugene, OR)
Vanderbilt University (Nashville, TN)
Yale University (New Haven, CT)
Albion College (Albion, MI)
Alverno College (Milwaukee, WI)
Bard College (Annandale on Hudson, NY)
Barnard College (New York, NY)
Bates College (Lewiston, ME)
Binghamton University, The State University of New York (Binghamton, NY)
Boston College (Chestnut Hill, MA)
Bucknell University (Lewisburg, PA)
California State University, Northridge (Northridge, CA)
Carleton College (Northfield, MN)
Carnegie Mellon University (Pittsburgh, PA)
Case Western Reserve University (Cleveland, OH)
Claremont McKenna College (Claremont, CA)
College of William and Mary (Williamsburg, VA)
Colorado College (Colorado Springs, CO)
Colorado State University (Fort Collins, CO)
Columbia University (New York, NY)
Cornell University (Ithaca, NY)
Dartmouth College (Hanover, NH)
Denison University (Granville, OH)
Dickinson College (Carlisle, PA)
Drew University (Madison, NJ)
Earlham College (Richmond, IN)
Elon University (Elon, NC)
Emory University (Atlanta, GA)
Franklin & Marshall College (Lancaster, PA)
George Mason University (Fairfax, VA)
Gettysburg College (Gettysburg, PA)
Grinnell College (Grinnell, IA)
Hollins University (Roanoke, VA)
Indiana University Bloomington (Bloomington, IN)
James Madison University (Harrisonburg, VA)
Johns Hopkins University (Baltimore, MD)
Lewis and Clark College (Portland, OR)
Loyola University Chicago (Chicago, IL)
Loyola University Maryland (Baltimore, MD)
Marquette University (Milwaukee, WI)
Mills College (Oakland, CA)
Montclair State University (Montclair, NJ)
Muhlenberg College (Allentown, PA)
Pomona College (Claremont, CA)
Rollins College (Winter Park, FL)
Rutgers, the State University of New Jersey &#8212; New Brunswick (Piscataway, NJ)
SUNY &#8212; University at Buffalo (Buffalo, NY)
Saint Anselm College (Manchester, NH)
San Diego State University (San Diego, CA)
Santa Clara University (Santa Clara, CA)
Smith College (Northampton, MA)
Sonoma State University (Rohnert Park, CA)
Southern Illinois University &#8212; Carbondale (Carbondale, IL)
Syracuse University (Syracuse, NY)
The Ohio State University &#8212; Columbus (Columbus, OH)
The University of Texas at Austin (Austin, TX)
The University of Utah (Salt Lake City, UT)
Towson University (Towson, MD)
Transylvania University (Lexington, KY)
Tulane University (New Orleans, LA)
Union College (Schenectady, NY)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of California, Berkeley (Berkeley, CA)
University of California, Davis (Davis, CA)
University of California, Riverside (Riverside, CA)
University of California, San Diego (La Jolla, CA)
University of California, Santa Barbara (Santa Barbara, CA)
University of California, Santa Cruz (Santa Cruz, CA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Pennsylvania (Philadelphia, PA)
University of Richmond (University of Richmond, VA)
University of Rochester (Rochester, NY)
University of Southern California (Los Angeles, CA)
University of Virginia (Charlottesville, VA)
University of Washington, Seattle (Seattle, WA)
University of Wisconsin &#8212; Madison (Madison, WI)
Vassar College (Poughkeepsie, NY)
Washington University in St. Louis (St. Louis, MO)
Wesleyan University (Middletown, CT)
Western Washington University (Bellingham, WA)
Westmont College (Santa Barbara, CA)
Wheaton College (Norton, MA)
Williams College (Williamstown, MA)
Yeshiva University (New York, NY)
