Amherst College (Amherst, MA)
Brown University (Providence, RI)
California Polytechnic State University, San Luis Obispo (San Luis Obispo, CA)
Carleton College (Northfield, MN)
Dartmouth College (Hanover, NH)
Harvard University (Cambridge, MA)
Kenyon College (Gambier, OH)
Macalester College (St. Paul, MN)
Massachusetts Institute of Technology (Cambridge, MA)
Middlebury College (Middlebury, VT)
North Carolina State University &#8212; Raleigh (Raleigh, NC)
Northwestern University (Evanston, IL)
Pennsylvania State University &#8212; University Park (University Park, PA)
Pomona College (Claremont, CA)
Princeton University (Princeton, NJ)
Stanford University (Stanford, CA)
Swarthmore College (Swarthmore, PA)
University of California &#8212; Los Angeles (Los Angeles, CA)
