Amherst College (Amherst, MA)
Auburn University (Auburn, AL)
Beloit College (Beloit, WI)
Brandeis University (Waltham, MA)
Briar Cliff University (Sioux City, IA)
Brigham Young University &#8212; Provo (Provo, UT)
Brown University (Providence, RI)
Bryn Mawr College (Bryn Mawr, PA)
CUNY &#8212; Baruch College (New York, NY)
Clark University (Worcester, MA)
Clemson University (Clemson, SC)
Coe College (Cedar Rapids, IA)
Colorado State University (Fort Collins, CO)
Columbia University (New York, NY)
Cornell College (Mount Vernon, IA)
Cornell University (Ithaca, NY)
Dartmouth College (Hanover, NH)
DePaul University (Chicago, IL)
Denison University (Granville, OH)
Duke University (Durham, NC)
Earlham College (Richmond, IN)
Gettysburg College (Gettysburg, PA)
Goucher College (Baltimore, MD)
Hartwick College (Oneonta, NY)
Harvard University (Cambridge, MA)
Hendrix College (Conway, AR)
Howard University (Washington, DC)
Illinois College (Jacksonville, IL)
Indiana University Bloomington (Bloomington, IN)
Ithaca College (Ithaca, NY)
Knox College (Galesburg, IL)
Lake Forest College (Lake Forest, IL)
Loyola Marymount University (Los Angeles, CA)
McDaniel College (Westminster, MD)
Michigan State University (East Lansing, MI)
Moravian College (Bethlehem, PA)
Morehouse College (Atlanta, GA)
Northwestern University (Evanston, IL)
Oberlin College (Oberlin, OH)
Ohio University (Athens, OH)
Ohio Wesleyan University (Delaware, OH)
Oklahoma City University (Oklahoma City, OK)
Pace University (New York, NY)
Princeton University (Princeton, NJ)
Quinnipiac University (Hamden, CT)
SUNY &#8212; Albany (Albany, NY)
Saint Joseph's University (Philadelphia, PA)
Simmons College (Boston, MA)
Smith College (Northampton, MA)
Sonoma State University (Rohnert Park, CA)
St. Lawrence University (Canton, NY)
Stanford University (Stanford, CA)
Stony Brook University (Stony Brook, NY)
Swarthmore College (Swarthmore, PA)
Syracuse University (Syracuse, NY)
The Catholic University of America (Washington, DC)
The College of Wooster (Wooster, OH)
The University of Arizona (Tucson, AZ)
The University of Chicago (Chicago, IL)
The University of Montana (Missoula, MT)
The University of New Mexico (Albuquerque, NM)
Tufts University (Medford, MA)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of California, Berkeley (Berkeley, CA)
University of California, Santa Cruz (Santa Cruz, CA)
University of Colorado Boulder (Boulder, CO)
University of Colorado Colorado Springs (Colorado Springs, CO)
University of Illinois at Chicago (Chicago, IL)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Iowa (Iowa City, IA)
University of Kansas (Lawrence, KS)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of North Carolina at Wilmington (Wilmington, NC)
University of Oregon (Eugene, OR)
University of Pennsylvania (Philadelphia, PA)
University of Pittsburgh (Pittsburgh, PA)
University of San Francisco (San Francisco, CA)
University of South Florida (Tampa, FL)
University of Washington, Seattle (Seattle, WA)
University of Wisconsin &#8212; Madison (Madison, WI)
University of Wisconsin &#8212; Stevens Point (Stevens Point, WI)
Washington State University (Pullman, WA)
Western Washington University (Bellingham, WA)
Wheaton College (Norton, MA)
Whitman College (Walla Walla, WA)
Yale University (New Haven, CT)
