Auburn University (Auburn, AL)
College of Charleston (Charleston, SC)
East Carolina University (Greenville, NC)
Frostburg State University (Frostburg, MD)
Indiana University Bloomington (Bloomington, IN)
Louisiana State University &#8212; Baton Rouge (Baton Rouge, LA)
Michigan State University (East Lansing, MI)
SUNY College at Oneonta (Oneonta, NY)
The University of Alabama (Tuscaloosa, AL)
Towson University (Towson, MD)
University of Kansas (Lawrence, KS)
University of Maryland, College Park (College Park, MD)
University of Minnesota &#8212; Twin Cities (Minneapolis, MN)
University of New Hampshire (Durham, NH)
University of North Carolina at Charlotte (Charlotte, NC)
University of Oklahoma (Norman, OK)
University of Oregon (Eugene, OR)
University of South Carolina &#8212; Columbia (Columbia, SC)
University of Tennessee at Knoxville (Knoxville, TN)
University of Vermont (Burlington, VT)
Appalachian State University (Boone, NC)
Bloomsburg University of Pennsylvania (Bloomsburg, PA)
Georgia Southern University (Statesboro, GA)
Iowa State University (Ames, IA)
James Madison University (Harrisonburg, VA)
North Carolina State University &#8212; Raleigh (Raleigh, NC)
Northern Arizona University (Flagstaff, AZ)
Ohio State University &#8212; Columbus (Columbus, OH)
Ohio University (Athens, OH)
Oklahoma State University (Stillwater, OK)
Oregon State University (Corvallis, OR)
Pennsylvania State University &#8212; University Park (University Park, PA)
Plymouth State University (Plymouth, NH)
Radford University (Radford, VA)
Rutgers, the State University of New Jersey &#8212; New Brunswick (Piscataway, NJ)
SUNY &#8212; New Paltz (New Paltz, NY)
SUNY &#8212; Plattsburgh (Plattsburgh, NY)
Salisbury University (Salisbury, MD)
Texas Tech University (Lubbock, TX)
The College of New Jersey (Ewing, NJ)
The Evergreen State College (Olympia, WA)
The Florida State University (Tallahassee, FL)
The University of Montana (Missoula, MT)
University of Baltimore (Baltimore, MD)
University of Bridgeport (Bridgeport, CT)
University of California, Riverside (Riverside, CA)
University of Colorado Colorado Springs (Colorado Springs, CO)
University of Delaware (Newark, DE)
University of Florida (Gainesville, FL)
University of Kansas (Lawrence, KS)
University of Kentucky (Lexington, KY)
University of Maine (Orono, ME)
University of Mary Washington (Fredericksburg, VA)
University of Massachusetts Amherst (Amherst, MA)
University of Missouri &#8212; Columbia (Columbia, MO)
University of North Carolina at Asheville (Asheville, NC)
University of North Carolina at Wilmington (Wilmington, NC)
University of Pittsburgh (Pittsburgh, PA)
University of Rhode Island (Kingston, RI)
University of South Florida (Tampa, FL)
University of Wisconsin &#8212; Madison (Madison, WI)
Virginia Commonwealth University (Richmond, VA)
Washington State University (Pullman, WA)
West Chester University of Pennsylvania (West Chester, PA)
Western Connecticut State University (Danbury, CT)
