Clemson University (Clemson, SC)
Indiana University Bloomington (Bloomington, IN)
Miami University &#8212; Oxford (Oxford, OH)
Montana State University &#8212; Bozeman (Bozeman, MT)
Northwestern University (Evanston, IL)
The Ohio State University &#8212; Columbus (Columbus, OH)
The University of Alabama (Tuscaloosa, AL)
The University of Arizona (Tucson, AZ)
University of Colorado, Boulder (Boulder, CO)
University of Delaware (Newark, DE)
University of Georgia (Athens, GA)
University of Kansas (Lawrence, KS)
University of Maryland, College Park (College Park, MD)
University of Massachusetts Amherst (Amherst, MA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of New Hampshire (Durham, NH)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Oregon (Eugene, OR)
University of South Carolina &#8212; Columbia (Columbia, SC)
University of Vermont (Burlington, VT)
University of Wisconsin &#8212; Madison (Madison, WI)
Virginia Polytechnic Institute and State University (Blacksburg, VA)
Yale University (New Haven, CT)
