Belmont University (Nashville, TN)
Boston College (Chestnut Hill, MA)
Boston University (Boston, MA)
Case Western Reserve University (Cleveland, OH)
Columbia College Chicago (Chicago, IL)
Indiana University Bloomington (Bloomington, IN)
Lawrence University (Appleton, WI)
Lebanon Valley College (Annville, PA)
New York University (New York, NY)
Northwestern University (Evanston, IL)
Oberlin College (Oberlin, OH)
Rice University (Houston, TX)
Skidmore College (Saratoga Springs, NY)
St. Olaf College (Northfield, MN)
Susquehanna University (Selinsgrove, PA)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of Denver (Denver, CO)
University of North Texas (Denton, TX)
University of Puget Sound (Tacoma, WA)
University of Southern California (Los Angeles, CA)
University of the Pacific (Stockton, CA)
Vanderbilt University (Nashville, TN)
Yale University (New Haven, CT)
