American University (Washington, DC)
Baylor University (Waco, TX)
Beloit College (Beloit, WI)
Brandeis University (Waltham, MA)
Carroll College (Helena, MT)
Case Western Reserve University (Cleveland, OH)
Clark University (Worcester, MA)
Coe College (Cedar Rapids, IA)
College of St. Benedict (St. Joseph, MN)
DePaul University (Chicago, IL)
Denison University (Granville, OH)
Drake University (Des Moines, IL)
Drew University (Madison, NJ)
Drexel University (Philadelphia, PA)
Elon University (Elon, NC)
Florida Southern College (Lakeland, FL)
Fordham University (New York, NY)
Gonzaga University (Spokane, WA)
Hendrix College (Conway, AR)
High Point University (High Point , NC)
Hobart and William Smith Colleges (Geneva, NY)
Hofstra University (Hempstead, NY)
Indiana University Bloomington (Bloomington, IN)
Juniata College (Huntingdon, PA)
Lawrence University (Appleton, WI)
Lewis and Clark College (Portland, OR)
Linfield College (McMinnville, OR)
Loyola Marymount University (Los Angeles, CA)
Loyola University Maryland (Baltimore, MD)
Marquette University (Milwaukee, WI)
McDaniel College (Westminster, MD)
Mercer University (Macon, GA)
Muhlenberg College (Allentown, PA)
Ohio Wesleyan University (Delaware, OH)
Pace University (New York, NY)
Providence College (Providence, RI)
Quinnipiac University (Hamden, CT)
Quinnipiac University (Hamden, CT)
Rider University (Lawrenceville, NJ)
Saint Anselm College (Manchester, NH)
Saint Joseph's University (Philadelphia, PA)
Salve Regina University (Newport, RI)
St. Mary's College of California (Moraga, CA)
Suffolk University (Boston, MA)
Syracuse University (Syracuse, NY)
Texas Christian University (Fort Worth, TX)
The College of Wooster (Wooster, OH)
Tulane University (New Orleans, LA)
University of Denver (Denver, CO)
University of Hartford (West Hartford, CT)
University of Portland (Portland, OR)
University of Puget Sound (Tacoma, WA)
University of Redlands (Redlands, CA)
University of San Francisco (San Francisco, CA)
University of Scranton (Scranton, PA)
Ursinus College (Collegeville, PA)
Willamette University (Salem, OR)
