Arcadia University (Glenside, PA)
Boston University (Boston, MA)
Colgate University (Hamilton, NY)
College of the Holy Cross (Worcester, MA)
Dickinson College (Carlisle, PA)
Goucher College (Baltimore, MD)
Hamilton College (Clinton, NY)
Kalamazoo College (Kalamazoo, MI)
Lewis and Clark College (Portland, OR)
Middlebury College (Middlebury, VT)
New York University (New York, NY)
St. Olaf College (Northfield, MN)
Syracuse University (Syracuse, NY)
University of Denver (Denver, CO)
American Jewish University (Bel Air, CA)
American University (Washington, DC)
Beloit College (Beloit, WI)
Bowdoin College (Brunswick, ME)
Calvin University (Grand Rapids, MI)
Carleton College (Northfield, MN)
College of St. Benedict (St. Joseph, MN)
Columbia University (New York, NY)
Concordia College &#8212; Moorhead (Moorhead, MN)
Connecticut College (New London, CT)
Covenant College (Lookout Mountain, GA)
Dartmouth College (Hanover, NH)
DePauw University (Greencastle, IN)
Earlham College (Richmond, IN)
Eckerd College (St. Petersburg, FL)
Elon University (Elon, NC)
Franciscan University of Steubenville (Steubenville, OH)
Georgetown University (Washington, DC)
Goshen College (Goshen, IN)
Grinnell College (Grinnell, IA)
Guilford College (Greensboro, NC)
Gustavus Adolphus College (St. Peter, MN)
Linfield College (McMinnville, OR)
Macalester College (St. Paul, MN)
New York University (New York, NY)
Pacific Lutheran University (Tacoma, WA)
Pitzer College (Claremont, CA)
Pomona College (Claremont, CA)
Princeton University (Princeton, NJ)
Queens University of Charlotte (Charlotte, NC)
Scripps College (Claremont, CA)
Soka University of America (Aliso Viejo, CA)
St. John's University (Queens, NY)
Stanford University (Stanford, CA)
Trinity College (Hartford, CT)
Tufts University (Medford, MA)
Union College (Schenectady, NY)
University of Colorado, Boulder (Boulder, CO)
University of Evansville (Evansville, IN)
University of Maryland, College Park (College Park, MD)
University of Richmond (University of Richmond, VA)
Westmont College (Santa Barbara, CA)
Whitman College (Walla Walla, WA)
Worcester Polytechnic Institute (Worcester, MA)
Yeshiva University (New York, NY)
