Bates College (Lewiston, ME)
Bowdoin College (Brunswick, ME)
Carleton College (Northfield, MN)
Claremont McKenna College (Claremont, CA)
College of William and Mary (Williamsburg, VA)
College of the Holy Cross (Worcester, MA)
Dartmouth College (Hanover, NH)
Davidson College (Davidson, NC)
Duke University (Durham, NC)
Grinnell College (Grinnell, IA)
Harvey Mudd College (Claremont, CA)
Haverford College (Haverford, PA)
Macalester College (St. Paul, MN)
Massachusetts Institute of Technology (Cambridge, MA)
Middlebury College (Middlebury, VT)
Northwestern University (Evanston, IL)
Pennsylvania State University &#8212; University Park (University Park, PA)
Pomona College (Claremont, CA)
Princeton University (Princeton, NJ)
Smith College (Northampton, MA)
St. John's College (Annapolis, MD)
St. John's College (Santa Fe, NM)
Stanford University (Stanford, CA)
Swarthmore College (Swarthmore, PA)
The College of Wooster (Wooster, OH)
The University of Chicago (Chicago, IL)
University of Rochester (Rochester, NY)
Wake Forest University (Winston Salem, NC)
Wesleyan University (Middletown, CT)
Williams College (Williamstown, MA)
