Lawrence University (Appleton, WI): The Top Choice (tie)
Muhlenberg College (Allentown, PA): The Top Choice (tie)
The College of Wooster (Wooster, OH): The Top Choice (tie)
Albright College (Reading, PA)
Allegheny College (Meadville, PA)
Austin College (Sherman, TX)
Baldwin Wallace University (Berea, OH)
Beloit College (Beloit, WI)
Bentley University (Waltham, MA)
Birmingham&#8211;Southern College (Birmingham, AL)
Bradley University (Peoria, IL)
Carroll College (Helena, MT)
Centre College (Danville, KY)
Chapman University (Orange, CA)
Clark University (Worcester, MA)
College of Saint Benedict (St. Joseph, MN)
Colorado College (Colorado Springs, CO)
Cornell College (Mount Vernon, IA)
Davidson College (Davidson, NC)
DePauw University (Greencastle, IN)
Dickinson College (Carlisle, PA)
Dominican University of California (San Rafael, CA)
Drew University (Madison, NJ)
Earlham College (Richmond, IN)
Elon University (Elon, NC)
Endicott College (Beverly, MA)
Florida Southern College (Lakeland, FL)
Franklin & Marshall College (Lancaster, PA)
Franklin W. Olin College of Engineering (Needham, MA)
Furman University (Greenville, SC)
George Mason University (Fairfax, VA)
Gettysburg College (Gettysburg, PA)
Grove City College (Grove City, PA)
Hampshire College (Amherst, MA)
Hendrix College (Conway, AR)
High Point University (High Point, NC)
Hope College (Holland, MI)
Kalamazoo College (Kalamazoo, MI)
Kenyon College (Gambier, OH)
Knox College (Galesburg, IL)
Lewis and Clark College (Portland, OR)
Linfield College (McMinnville, OR)
Luther College (Decorah, IA)
Marist College (Poughkeepsie, NY)
McDaniel College (Westminster, MD)
Miami University &#8212; Oxford (Oxford, OH)
Montana State University &#8212; Billings (Billings, MT)
New College of Florida (Sarasota, FL)
Pomona College (Claremont, CA)
Presbyterian College (Clinton, SC)
 class="name">Quest University (Squamish, BC (CAN))
Ripon College (Ripon, WI)
Roger Williams University (Bristol, RI)
Rollins College (Winter Park, FL)
Saint Anselm College (Manchester, NH)
Saint Mary's College of California (Moraga, CA)
Saint Michael's College (Colchester, VT)
Santa Clara University (Santa Clara, CA)
Seattle University (Seattle, WA)
Sewanee: The University of the South (Sewanee, TN)
Siena College (Loudonville, NY)
Southwestern University (Georgetown, TX)
St. Edward's University (Austin, TX)
St. John's College (Annapolis, MD)
St. John's College (Santa Fe, NM)
St. Lawrence University (Canton, NY)
St. Mary's College of Maryland (St. Mary's City, MD)
St. Olaf College (Northfield, MN)
Stetson University (Deland, FL)
Stevenson University (Stevenson, MD)
The University of Scranton (Scranton, PA)
The University of Tampa (Tampa, FL)
The University of Tulsa (Tulsa, OK)
Trinity University (San Antonio, TX)
Union College (Schenectady, NY)
University of Dayton (Dayton, OH)
University of Delaware (Newark, DE)
University of Portland (Portland, OR)
University of Puget Sound (Tacoma, WA)
University of Redlands (Redlands, CA)
University of Richmond (University of Richmond, VA)
University of St. Thomas (St. Paul, MN)
Ursinus College (Collegeville, PA)
Washington College (Chestertown, MD)
Western Washington University (Bellingham, WA)
Wheaton College (Norton, MA)
Whitman College (Walla Walla, WA)
Whittier College (Whittier, CA)
William Jewell College (Liberty, MO)
Wittenberg University (Springfield, OH)
Wofford College (Spartanburg, SC)
Worcester Polytechnic Institute (Worcester, MA)
