Boston College (Chestnut Hill, MA)
Boston University (Boston, MA)
Brown University (Providence, RI)
College of Charleston (Charleston, SC)
Duke University (Durham, NC)
Elon University (Elon, NC)
Emory University (Atlanta, GA)
Georgetown University (Washington, DC)
Muhlenberg College (Allentown, PA)
New York University (New York, NY)
Northwestern University (Evanston, IL)
The George Washington University (Washington, DC)
University of Delaware (Newark, DE)
University of Denver (Denver, CO)
University of Miami (Coral Gables, FL)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Southern California (Los Angeles, CA)
Vanderbilt University (Nashville, TN)
Villanova University (Villanova, PA)
Washington University in St. Louis (St. Louis, MO)
Yale University (New Haven, CT)
Bowdoin College (Brunswick, ME)
Case Western Reserve University (Cleveland, OH)
Claremont McKenna College (Claremont, CA)
Cornell University (Ithaca, NY)
DePaul University (Chicago, IL)
Denison University (Granville, OH)
Dickinson College (Carlisle, PA)
High Point University (High Point, NC)
Indiana University Bloomington (Bloomington, IN)
Lehigh University (Bethlehem, PA)
Loyola Marymount University (Los Angeles, CA)
Macalester College (St. Paul, MN)
Middlebury College (Middlebury, VT)
New College of Florida (Sarasota, FL)
Pennsylvania State University &#8212; University Park (University Park, PA)
Pitzer College (Claremont, CA)
Pomona College (Claremont, CA)
Quinnipiac University (Hamden, CT)
Samford University (Birmingham, AL)
Southern Methodist University (Dallas, TX)
Stanford University (Stanford, CA)
Syracuse University (Syracuse, NY)
The University of Texas at Austin (Austin, TX)
Tufts University (Medford, MA)
University of Chicago (Chicago, IL)
University of Florida (Gainesville, FL)
University of Maryland, College Park (College Park, MD)
University of Pennsylvania (Philadelphia, PA)
University of Pittsburgh (Pittsburgh, PA)
University of Richmond (University of Richmond, VA)
University of South Carolina &#8212; Columbia (Columbia, SC)
University of Vermont (Burlington, VT)
University of Virginia (Charlottesville, VA)
University of Wisconsin &#8212; Madison (Madison, WI)
Vassar College (Poughkeepsie, NY)
Wake Forest University (Winston Salem, NC)
Whitman College (Walla Walla, WA)
