Bowdoin College (Brunswick, ME)
Carleton College (Northfield, MN)
Carnegie Mellon University (Pittsburgh, PA)
Case Western Reserve University (Cleveland, OH)
Colgate University (Hamilton, NY)
Davidson College (Davidson, NC)
Duke University (Durham, NC)
Emory University (Atlanta, GA)
Harvey Mudd College (Claremont, CA)
Lehigh University (Bethlehem, PA)
Pomona College (Claremont, CA)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Rochester Institute of Technology (Rochester, NY)
The College of Wooster (Wooster, OH)
The University of Chicago (Chicago, IL)
Union College (Schenectady, NY)
University of Rochester (Rochester, NY)
Washington University in St. Louis (St. Louis, MO)
Wellesley College (Wellesley, MA)
Worcester Polytechnic Institute (Worcester, MA)
Amherst College (Amherst, MA)
Boston University (Boston, MA)
Brandeis University (Waltham, MA)
Brown University (Providence, RI)
Bryn Mawr College (Bryn Mawr, PA)
Bucknell University (Lewisburg, PA)
Colgate University (Hamilton, NY)
Colorado School of Mines (Golden, CO)
Cornell University (Ithaca, NY)
Dartmouth College (Hanover, NH)
Davidson College (Davidson, NC)
Franklin & Marshall College (Lancaster, PA)
Georgia Institute of Technology (Atlanta, GA)
Harvard University (Cambridge, MA)
Haverford College (Haverford, PA)
Juniata College (Huntingdon, PA)
Kenyon College (Gambier, OH)
Lafayette College (Easton, PA)
Lawrence University (Appleton, WI)
Mount Holyoke College (South Hadley, MA)
Muhlenberg College (Allentown, PA)
Northwestern University (Evanston, IL)
Oberlin College (Oberlin, OH)
Princeton University (Princeton, NJ)
Reed College (Portland, OR)
Rensselaer Polytechnic Institute (Troy, NY)
Rhodes College (Memphis, TN)
Rice University (Houston, TX)
Smith College (Northampton, MA)
St. Olaf College (Northfield, MN)
Stanford University (Stanford, CA)
Swarthmore College (Swarthmore, PA)
The Ohio State University &#8212; Columbus (Columbus, OH)
The University of Scranton (Scranton, PA)
Tufts University (Medford, MA)
University of California, Berkeley (Berkeley, CA)
University of Connecticut (Storrs, CT)
University of Delaware (Newark, DE)
University of Miami (Coral Gables, FL)
University of Oregon (Eugene, OR)
University of Richmond (University of Richmond, VA)
University of Washington, Seattle (Seattle, WA)
Vanderbilt University (Nashville, TN)
Wake Forest University (Winston Salem, NC)
Williams College (Williamstown, MA)
