Arkansas State University (Jonesboro, AR)
Bucknell University (Lewisburg, PA)
Colorado State University (Fort Collins, CO)
Gettysburg College (Gettysburg, PA)
Indiana University Bloomington (Bloomington, IN)
Iowa State University (Ames, IA)
Texas A&M University &#8212; College Station (College Station, TX)
The University of Arizona (Tucson, AZ)
The University of Texas at Austin (Austin, TX)
University of Central Arkansas (Conway, AR)
University of Colorado Boulder (Boulder, CO)
University of Northern Colorado (Greeley, CO)
Washington and Lee University (Lexington, VA)
