American University (Washington, DC): 2002
Arizona State University (Tempe, AZ): 2004
Bard College (Annandale on Hudson, NY): 2007
Brandeis University (Waltham, MA): 2006
Bridgewater State University (Bridgewater, MA): 2007
Brown University (Providence, RI): 2001-02
Bryant University (Smithfield, RI): 2005
Bucknell University (Lewisburg, PA): 2006
CUNY &#8212; Brooklyn College (Brooklyn, NY): 2002-03
California College of the Arts (San Francisco, CA): no date available
California Institute of Technology (Pasadena, CA): 2004
California State University &#8212; Long Beach (Long Beach, CA): no date available
Carnegie Mellon University (Pittsburgh, PA): 2003
Case Western Reserve University (Cleveland, OH): 2006
Central College (Pella, IA): 2005
Central Washington University (Ellensburg, WA): 2005
City College of San Francisco (San Francisco, CA): 2005
Colby College (Waterville, ME): 2005
Colorado State University (Fort Collins, CO): 2004
Columbia University (New York, NY): 2006
Community College of Rhode Island (Warwick, RI): no date available
Connecticut College (New London, CT): 2005
Cornell University (Ithaca, NY): 2005
Dartmouth College (Hanover, NH): 2006
DePauw University (Greencastle, IN): 1999
Delta College (University Center, MI): 2007
Drake University (Des Moines, IA): 2004
Duke University (Durham, NC): 2007
Eastern Michigan University (Ypsilanti, MI): 2007
Emory University (Atlanta, GA): 2007
Fitchburg State University (Fitchburg, MA): 2007
 class="name">Foothill&#8211;DeAnza Community College (Los Altos Hills, CA): 2006
Framingham State University (Framingham, MA): 2007
Goucher College (Baltimore, MD): 2006
Guilford College (Greensboro, NC): no date available
Harvard University (Cambridge, MA): 2006
Harvey Mudd College (Claremont, CA): 2005
Holyoke Community College (Holyoke, MA): 2006
Iowa State University (Ames, IA): 2005
Ithaca College (Ithaca, NY): 2006
Johns Hopkins University (Baltimore, MD): 2005
Kalamazoo College (Kalamazoo, MI): 2000
Kalamazoo Valley Community College (Kalamazoo, MI): 2005
Knox College (Galesburg, IL): 2001
Lehigh University (Bethlehem, PA): 2003
 class="name">MGH Institute of Health Professions (Boston, MA): 2007
 class="name">Maine Media College (Rockport, ME): 2000
Massachusetts College of Art and Design (Boston, MA): 2007
Massachusetts College of Liberal Arts (North Adams, MA): 2007
Massachusetts Institute of Technology (Cambridge, MA): 2003
Massachusetts Maritime Academy (Buzzards Bay, MA): 2007
Michigan State University (East Lansing, MI): 2007
Middlebury College (Middlebury, VT): 2003
Moravian College (Bethlehem, PA): 2006
Muhlenberg College (Allentown, PA): 2005
New College of Florida (Sarasota, FL): 2006
New Mexico State University (Las Cruces, NM): 2006
New York University (New York, NY): 2005
North Carolina State University &#8212; Raleigh (Raleigh, NC): 2005
Occidental College (Los Angeles, CA): 2006
Ohio State University &#8212; Columbus (Columbus, OH): 2004
Ohio University (Athens, OH): 2007
Olivet College (Olivet, MI): 2006
Oregon State University (Corvallis, OR): 2005
Parkland College (Champaign, IL): 2006
Peirce College (Philadelphia, PA): no date available
Pennsylvania State University &#8212; University Park (University Park, PA): 2006
Princeton University (Princeton, NJ): 2006
Rhode Island College (Providence, RI): no date available
Rice University (Houston, TX): 2006
Rochester Institute of Technology (Rochester, NY): 2005
Salem State University (Salem, MA): 2007
Sarah Lawrence College (Bronxville, NY): 2006
Southwestern Community College &#8212; Creston Campus (Creston, IA): 2003
Stanford University (Stanford, CA): 2004
Suffolk University (Boston, MA): 2006
Swarthmore College (Swarthmore, PA): 2007
Syracuse University (Syracuse, NY): 2005
The Evergreen State College (Olympia, WA): 2006
The University of Arizona (Tucson, AZ): 2005
The University of New Mexico (Albuquerque, NM): 2007
Tufts University (Medford, MA): 2005
University of Baltimore (Baltimore, MD): 2006
University of Chicago (Chicago, IL): 2004
University of Denver (Denver, CO): 2007
 class="name">University of Illinois, System (IL): 2005
University of Iowa (Iowa City, IA): 1996
 class="name">University of Maine, System (ME): 2006
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI): 2007
University of Minnesota &#8212; Twin Cities (Minneapolis, MN): 2006
University of New Hampshire (Durham, NH): 2005
University of Oregon (Eugene, OR): 2005
University of Pennsylvania (Philadelphia, PA): 2003
University of Puget Sound (Tacoma, WA): 2002-03
University of Rhode Island (Kingston, RI): 2003-04
University of Vermont (Burlington, VT): 2005
University of Washington, Seattle (Seattle, WA): no date available
 class="name">University of Wisconsin, System (WI): 2005
Vassar College (Poughkeepsie, NY): 2006
Vermont Technical College (Randolph Center, VT): no date available
Washington State University (Pullman, WA): 2007
Wesleyan University (Middletown, CT): 2005
Western Michigan University (Kalamazoo, MI): 2006
Western New England University (Springfield, MA): 2006
Westfield State University (Westfield, MA): 2007
Whitman College (Walla Walla, WA): 2001
Williams College (Williamstown, MA): 2006
Worcester State University (Worcester, MA): 2007
Yale University (New Haven, CT): 2006
Youngstown State University (Youngstown, OH): 2007
