Beloit College (Beloit, WI)
Coe College (Cedar Rapids, IA)
College of Charleston (Charleston, SC)
Davidson College (Davidson, NC)
Grinnell College (Grinnell, IA)
Indiana University Bloomington (Bloomington, IN)
Iona College (New Rochelle, NY)
Kenyon College (Gambier, OH)
Lawrence University (Appleton, WI)
Macalester College (St. Paul, MN)
Mills College (Oakland, CA)
Occidental College (Los Angeles, CA)
Old Dominion University (Norfolk, VA)
Regis College (Weston, MA)
Ripon College (Ripon, WI)
Saint Michael's College (Colchester, VT)
St. Olaf College (Northfield, MN)
The College of Wooster (Wooster, OH)
Trinity University (San Antonio, TX)
Trinity Washington University (Washington, DC)
Wabash College (Crawfordsville, IN)
Winston&#8211;Salem State University (Winston-Salem, NC)
Xavier University (Cincinnati, OH)
