Auburn University (Auburn, AL)
Louisiana State University &#8212; Baton Rouge (Baton Rouge, LA)
Mississippi State University (Mississippi State, MS)
Texas A&M University &#8212; College Station (College Station, TX)
The University of Alabama (Tuscaloosa, AL)
University of Arkansas (Fayetteville, AR)
University of Florida (Gainesville, FL)
University of Georgia (Athens, GA)
University of Kentucky (Lexington, KY)
University of Mississippi (University, MS)
University of Missouri &#8212; Columbia (Columbia, MO)
University of South Carolina &#8212; Columbia (Columbia, SC)
University of Tennessee at Knoxville (Knoxville, TN)
Vanderbilt University (Nashville, TN)
