Florida Memorial University (Miami, FL): 59.2%
Case Western Reserve University (Cleveland, OH): 40.9%
Nova Southeastern University (Ft. Lauderdale, FL): 38.4%
 class="name">4. Antioch University (Seattle, WA): 36.7%
University of the Pacific (Stockton, CA): 32.3%
Bayamon Central University (Bayamon, PR): 31.8%
Harvard University (Cambridge, MA): 31.6%
Oberlin College (Oberlin, OH): 30.3%
Gonzaga University (Spokane, WA): 28.6%
Golden Gate University (San Francisco, CA): 27.9%
Barry University (Miami Shores, FL): 25.7%
Springfield College (Springfield, MA): 24.9%
New York University (New York, NY): 24.8%
Long Island University &#8212; Brooklyn (Brooklyn, NY): 24.1%
Baylor University (Waco, TX): 24.0%
Walla Walla University (College Place, WA): 22.8%
Stanford University (Stanford, CA): 22.3%
Hofstra University (Hempstead, NY): 21.3%
Lewis and Clark College (Portland, OR): 21.2%
Simmons College (Boston, MA): 20.9%
