University of Kentucky (Lexington, KY): 48
University of California &#8212; Los Angeles (Los Angeles, CA): 41
University of North Carolina at Chapel Hill (Chapel Hill, NC): 39
University of Kansas (Lawrence, KS): 35
Indiana University Bloomington (Bloomington, IN): 34
University of Louisville (Louisville, KY): 33
Duke University (Durham, NC): 31
Syracuse University (Syracuse, NY): 31
University of Arkansas (Fayetteville, AR): 28
University of Notre Dame (Notre Dame, IN): 28
Villanova University (Villanova, PA): 28
