Alfred University (Alfred, NY)
Bentley University (Waltham, MA)
Carroll University (Waukesha, WI)
Drew University (Madison, NJ)
Duke University (Durham, NC)
Florida Southern College (Lakeland, FL)
Gettysburg College (Gettysburg, PA)
Hobart and William Smith Colleges (Geneva, NY)
Hofstra University (Hempstead, NY)
Illinois Wesleyan University (Bloomington, IL)
Immaculata University (Immaculata, PA)
Lycoming College (Williamsport, PA)
McDaniel College (Westminster, MD)
Meredith College (Raleigh, NC)
Millikin University (Decatur, IL)
Millsaps College (Jackson, MS)
Morningside College (Sioux City, IA)
Muskingum University (New Concord, OH)
Nebraska Wesleyan University (Lincoln, NE)
North Central College (Naperville, IL)
Occidental College (Los Angeles, CA)
Point Loma Nazarene University (San Diego, CA)
Randolph&#8211;Macon College (Ashland, VA)
Rockford University (Rockford, IL)
Rutgers, the State University of New Jersey &#8212; New Brunswick (Piscataway, NJ)
SUNY &#8212; New Paltz (New Paltz, NY)
Saint Augustine's College (Raleigh, NC)
Seton Hill University (Greensburg, PA)
Southern New Hampshire University (Manchester, NH)
The College of Wooster (Wooster, OH)
Thiel College (Greenville, PA)
University of Iowa (Iowa City, IA)
University of Minnesota &#8212; Morris (Morris, MN)
University of Mount Union (Alliance, OH)
University of Nevada, Las Vegas (Las Vegas, NV)
University of Texas at Dallas (Richardson, TX)
Utica College (Utica, NY)
West Virginia University (Morgantown, WV)
Westminster College (Fulton, MO)
Whittier College (Whittier, CA)
