Adelphi University (Garden City, NY)
Adrian College (Adrian, MI)
Agnes Scott College (Decatur, GA)
Alabama Agricultural and Mechanical University (Normal, AL)
Alabama State University (Montgomery, AL)
Albany State University (Albany, GA)
Alcorn State University (Alcorn State, MS)
Alfred State College (Alfred, NY)
Alfred University (Alfred, NY)
Allegheny College (Meadville, PA)
Allen College (Waterloo, IA)
Allen University (Columbia, SC)
Alma College (Alma, MI)
Alvernia University (Reading, PA)
Alverno College (Milwaukee, WI)
American International College (Springfield, MA)
American University (Washington, DC)
Amherst College (Amherst, MA)
Anderson University (Anderson, SC)
Anna Maria College (Paxton, MA)
Appalachian State University (Boone, NC)
Aquinas College (Nashville, TN)
Arizona State University &#8212; Downtown Phoenix Campus (Phoenix, AZ)
Arizona State University &#8212; Polytechnic Campus (Mesa, AZ)
Arizona State University &#8212; Tempe Campus (Tempe, AZ)
Arizona State University &#8212; West Campus (Glendale, AZ)
Arkansas State University (Jonesboro, AR)
Arkansas Tech University (Russellville, AR)
Asbury University (Wilmore, KY)
Ashland University (Ashland, OH)
Assumption College (Worcester, MA)
Auburn University (Auburn, AL)
Auburn University at Montgomery (Montgomery, AL)
Augsburg College (Minneapolis, MN)
Augusta University (Augusta, GA)
Augustana College (Sioux Falls, SD)
Aurora University (Aurora, IL)
Austin Peay State University (Clarksville, TN)
Avila University (Kansas City, MO)
Azusa Pacific University (Azusa, CA)
Baker University (Baldwin City, KS)
Baldwin Wallace University (Berea, OH)
Ball State University (Muncie, IN)
Barnard College (New York, NY)
Barry University (Miami Shores, FL)
Bay Path University (Longmeadow, MA)
Baylor University (Waco, TX)
Belhaven University (Jackson, MS)
Bellarmine University (Louisville, KY)
Bellevue University (Bellevue, NE)
Belmont Abbey College (Belmont, NC)
Belmont University (Nashville, TN)
Benedict College (Columbia, SC)
Benedictine College (Atchison, KS)
Benedictine University (Lisle, IL)
Bennett College (Greensboro, NC)
Bentley University (Waltham, MA)
Berklee College of Music (Boston, MA)
Bethany Lutheran College (Mankato, MN)
Bethel College (Mishawaka, IN)
Bethel University (St. Paul, MN)
Bethune&#8211;Cookman University (Daytona Beach, FL)
Binghamton University, The State University of New York (Binghamton, NY)
Biola University (La Mirada, CA)
Birmingham&#8211;Southern College (Birmingham, AL)
Black Hills State University (Spearfish, SD)
Bloomfield College (Bloomfield, NJ)
Bloomsburg University of Pennsylvania (Bloomsburg, PA)
Boise State University (Boise, ID)
Boston College (Chestnut Hill, MA)
Boston University (Boston, MA)
Bowie State University (Bowie, MD)
Bowling Green State University (Bowling Green, OH)
Bradley University (Peoria, IL)
Brandeis University (Waltham, MA)
Briar Cliff University (Sioux City, IA)
Bridgewater State University (Bridgewater, MA)
Brigham Young University &#8212; Hawaii (Laie, HI)
Brigham Young University &#8212; Idaho (Rexburg, ID)
Brigham Young University &#8212; Provo (Provo, UT)
Brown University (Providence, RI)
Bryant University (Smithfield, RI)
Bryn Athyn College (Bryn Athyn, PA)
Bucknell University (Lewisburg, PA)
Buena Vista University (Storm Lake, IA)
Butler University (Indianapolis, IN)
CUNY &#8212; Baruch College (New York, NY)
CUNY &#8212; City College (New York, NY)
CUNY &#8212; Lehman College (Bronx, NY)
CUNY &#8212; Queens College (Queens, NY)
CUNY &#8212; York College (Jamaica, NY)
Cabrini College (Radnor, PA)
Caldwell University (Caldwell, NJ)
California Baptist University (Riverside, CA)
California Institute of Technology (Pasadena, CA)
California Lutheran University (Thousand Oaks, CA)
California Polytechnic State University, San Luis Obispo (San Luis Obispo, CA)
California State Polytechnic University, Pomona (Pomona, CA)
California State University, Channel Islands (Camarillo, CA)
California State University, Dominguez Hills (Carson, CA)
California State University, Fresno (Fresno, CA)
California State University, Fullerton (Fullerton, CA)
California State University, Long Beach (Long Beach, CA)
California State University, Los Angeles (Los Angeles, CA)
California State University, Northridge (Northridge, CA)
California State University, Sacramento (Sacramento, CA)
California State University, San Bernardino (San Bernardino, CA)
California State University, San Marcos (San Marcos, CA)
California University of Pennsylvania (California, PA)
Calvary University (Kansas City, MO)
Calvin University (Grand Rapids, MI)
Cameron University (Lawton, OK)
Campbell University (Buies Creek, NC)
Campbellsville University (Campbellsville, KY)
Canisius College (Buffalo, NY)
Capital University (Columbus, OH)
Carlow University (Pittsburgh, PA)
Carnegie Mellon University (Pittsburgh, PA)
Carroll College (Helena, MT)
Carroll University (Waukesha, WI)
Carson&#8211;Newman University (Jefferson City, TN)
Carthage College (Kenosha, WI)
Case Western Reserve University (Cleveland, OH)
Castleton State College (Castleton, VT)
Catawba College (Salisbury, NC)
Cazenovia College (Cazenovia, NY)
Cedarville University (Cedarville, OH)
Central Connecticut State University (New Britain, CT)
Central Methodist University (Fayette, MO)
Central Michigan University (Mount Pleasant, MI)
Central State University (Wilberforce, OH)
Central Washington University (Ellensburg, WA)
Centre College (Danville, KY)
Chaminade University of Honolulu (Honolulu, HI)
Champlain College (Burlington, VT)
Chapman University (Orange, CA)
Charleston Southern University (Charleston, SC)
Chatham University (Pittsburgh, PA)
Cheyney University of Pennsylvania (Cheyney, PA)
Chicago State University (Chicago, IL)
Christian Brothers University (Memphis, TN)
Christopher Newport University (Newport News, VA)
Claflin University (Orangeburg, SC)
Claremont McKenna College (Claremont, CA)
Clarion University of Pennsylvania (Clarion, PA)
Clark Atlanta University (Atlanta, GA)
Clark University (Worcester, MA)
Clarke University (Dubuque, IA)
Clarks Summit University (South Abington Township, PA)
Clarkson University (Potsdam, NY)
Clayton State University (Morrow, GA)
Clemson University (Clemson, SC)
Cleveland State University (Cleveland, OH)
Coastal Carolina University (Conway, SC)
Coe College (Cedar Rapids, IA)
Colby College (Waterville, ME)
Colby&#8211;Sawyer College (New London, NH)
Colgate University (Hamilton, NY)
College of Mount St. Vincent (Riverdale, NY)
College of Saint Benedict (St. Joseph, MN)
College of St. Mary (Omaha, NE)
College of William and Mary (Williamsburg, VA)
College of the Holy Cross (Worcester, MA)
College of the Ozarks (Point Lookout, MO)
Colorado Christian University (Lakewood, CO)
Colorado College (Colorado Springs, CO)
Colorado School of Mines (Golden, CO)
Colorado State University (Fort Collins, CO)
Colorado State University &#8212; Pueblo (Pueblo, CO)
Columbia College (Columbia, MO)
Columbia College (Columbia, SC)
Columbia University (New York, NY)
Columbus State University (Columbus, GA)
Concordia College &#8212; Moorhead (Moorhead, MN)
Concordia University (Ann Arbor, MI)
Concordia University &#8212; Irvine (Irvine, CA)
Concordia University &#8212; St. Paul (St. Paul, MN)
Concordia University Texas (Austin, TX)
Concordia University Wisconsin (Mequon, WI)
Concordia University, Nebraska (Seward, NE)
Converse College (Spartanburg, SC)
Coppin State University (Baltimore, MD)
Corban University (Salem, OR)
Cornell University (Ithaca, NY)
Cornerstone University (Grand Rapids, MI)
Covenant College (Lookout Mountain, GA)
Creighton University (Omaha, NE)
Crown College (St. Bonifacius, MN)
Cumberland University (Lebanon, TN)
Curry College (Milton, MA)
D'Youville College (Buffalo, NY)
Daemen College (Amherst, NY)
Dakota State University (Madison, SD)
Dakota Wesleyan University (Mitchell, SD)
Dallas Baptist University (Dallas, TX)
Dartmouth College (Hanover, NH)
Davenport University (Grand Rapids, MI)
Davidson College (Davidson, NC)
DePaul University (Chicago, IL)
DePauw University (Greencastle, IN)
DeSales University (Center Valley, PA)
Delaware State University (Dover, DE)
Denison University (Granville, OH)
Dickinson College (Carlisle, PA)
Dillard University (New Orleans, LA)
Dixie State U (Saint George, UT)
Doane University (Crete, NE)
Dominican University of California (San Rafael, CA)
Drake University (Des Moines, IA)
Drew University (Madison, NJ)
Drexel University (Philadelphia, PA)
Drury University (Springfield, MO)
Duke University (Durham, NC)
Duquesne University (Pittsburgh, PA)
East Carolina University (Greenville, NC)
East Stroudsburg University of Pennsylvania (East Stroudsburg, PA)
East Tennessee State University (Johnson City, TN)
Eastern Connecticut State University (Willimantic, CT)
Eastern Illinois University (Charleston, IL)
Eastern Kentucky University (Richmond, KY)
Eastern Michigan University (Ypsilanti, MI)
Eastern Nazarene College (Quincy, MA)
Eastern Oregon University (La Grande, OR)
Eastern University (St. Davids, PA)
Eastern Washington University (Cheney, WA)
Eckerd College (St. Petersburg, FL)
Edgewood College (Madison, WI)
Edinboro University of Pennsylvania (Edinboro, PA)
Edward Waters College (Jacksonville, FL)
Elizabeth City State University (Elizabeth City, NC)
Elmhurst College (Elmhurst, IL)
Elmira College (Elmira, NY)
Elms College (Chicopee, MA)
Elon University (Elon, NC)
Embry&#8211;Riddle Aeronautical University &#8212; Daytona Beach (Daytona Beach, FL)
Embry&#8211;Riddle Aeronautical University &#8212; Prescott (Prescott, AZ)
Embry&#8211;Riddle Aeronautical University &#8212; Worldwide Campus (Daytona Beach, FL)
Emmanuel College (Boston, MA)
Emory University (Atlanta, GA)
Endicott College (Beverly, MA)
Evangel University (Springfield, MO)
Fairfield University (Fairfield, CT)
Fairmont State University (Fairmont, WV)
Farmingdale State College (Farmingdale, NY)
Faulkner University (Montgomery, AL)
Fayetteville State University (Fayetteville, NC)
Felician University (Lodi, NJ)
Ferris State University (Big Rapids, MI)
Finlandia University (Hancock, MI)
Fisher College (Boston, MA)
Fisk University (Nashville, TN)
Fitchburg State University (Fitchburg, MA)
Florida Agricultural & Mechanical University (Tallahassee, FL)
Florida Atlantic University (Boca Raton, FL)
Florida College (Temple Terrace, FL)
Florida Institute of Technology (Melbourne, FL)
Florida International University (Miami, FL)
Florida Memorial University (Miami Gardens, FL)
Florida Southern College (Lakeland, FL)
Florida State University (Tallahassee, FL)
Fontbonne University (St. Louis, MO)
Fordham University (Bronx, NY)
Fort Valley State University (Fort Valley, GA)
Francis Marion University (Florence, SC)
Franciscan Missionaries of Our Lady University (Baton Rouge, LA)
Franciscan University of Steubenville (Steubenville, OH)
Franklin College (Franklin, IN)
Franklin Pierce University (Rindge, NH)
Freed&#8211;Hardeman University (Henderson, TN)
Furman University (Greenville, SC)
Gannon University (Erie, PA)
Gardner&#8211;Webb University (Boiling Springs, NC)
Geneva College (Beaver Falls, PA)
George Mason University (Fairfax, VA)
Georgetown College (Georgetown, KY)
Georgetown University (Washington, DC)
Georgia College & State University (Milledgeville, GA)
Georgia Gwinnett College (Lawrenceville, GA)
Georgia Institute of Technology (Atlanta, GA)
Georgia Southern University (Statesboro, GA)
Georgia State University (Atlanta, GA)
Gettysburg College (Gettysburg, PA)
Gonzaga University (Spokane, WA)
Gordon College (Wenham, MA)
Goucher College (Baltimore, MD)
Grace Bible College (Wyoming, MI)
Grambling State University (Grambling, LA)
Grand Canyon University (Phoenix, AZ)
Grand View University (Des Moines, IA)
Granite State College (Concord, NH)
Greensboro College (Greensboro, NC)
Guilford College (Greensboro, NC)
Gustavus Adolphus College (St. Peter, MN)
Hamilton College (Clinton, NY)
Hamline University (St. Paul, MN)
Hampden&#8211;Sydney College (Hampden-Sydney, VA)
Hampshire College (Amherst, MA)
Hampton University (Hampton, VA)
Harding University (Searcy, AR)
Harris&#8211;Stowe State University (St. Louis, MO)
Harvard University (Cambridge, MA)
Harvey Mudd College (Claremont, CA)
Hawaii Pacific University (Honolulu, HI)
Heidelberg University (Tiffin, OH)
Henderson State University (Arkadelphia, AR)
Hendrix College (Conway, AR)
High Point University (High Point, NC)
Hilbert College (Hamburg, NY)
Hiram College (Hiram, OH)
Hobart and William Smith Colleges (Geneva, NY)
Hofstra University (Hempstead, NY)
Holy Cross College (Notre Dame, IN)
Holy Family University (Philadelphia, PA)
Hood College (Frederick, MD)
Houghton College (Houghton, NY)
Houston Baptist University (Houston, TX)
Howard University (Washington, DC)
Huntingdon College (Montgomery, AL)
Husson University (Bangor, ME)
Huston&#8211;Tillotson University (Austin, TX)
Idaho State University (Pocatello, ID)
Illinois Institute of Technology (Chicago, IL)
Illinois State University (Normal, IL)
Illinois Wesleyan University (Bloomington, IL)
Immaculata University (Immaculata, PA)
Indiana State University (Terre Haute, IN)
Indiana University &#8212; Purdue University Fort Wayne (Fort Wayne, IN)
Indiana University &#8212; Purdue University Indianapolis (Indianapolis, IN)
Indiana University Bloomington (Bloomington, IN)
Indiana University Kokomo (Kokomo, IN)
Indiana University Northwest (Gary, IN)
Indiana University South Bend (South Bend, IN)
Indiana University Southeast (New Albany, IN)
Indiana University of Pennsylvania (Indiana, PA)
Indiana Wesleyan University (Marion, IN)
Inter American University of Puerto Rico &#8212; Aguadilla (Aguadilla, PR)
Inter American University of Puerto Rico &#8212; Arecibo (Arecibo, PR)
Inter American University of Puerto Rico &#8212; Fajardo (Fajardo, PR)
Inter American University of Puerto Rico &#8212; Guayama (Guayama, PR)
Inter American University of Puerto Rico &#8212; Metro (San Juan, PR)
Inter American University of Puerto Rico &#8212; San German (San German, PR)
Iona College (New Rochelle, NY)
Iowa State University (Ames, IA)
Ithaca College (Ithaca, NY)
Jackson State University (Jackson, MS)
Jacksonville State University (Jacksonville, AL)
Jacksonville University (Jacksonville, FL)
James Madison University (Harrisonburg, VA)
Jewish Theological Seminary of America (New York, NY)
John Brown University (Siloam Springs, AR)
John Carroll University (University Heights, OH)
Johns Hopkins University (Baltimore, MD)
Johnson & Wales University (Providence, RI)
Johnson & Wales University at Denver (Denver, CO)
Judson College (Marion, AL)
Kalamazoo College (Kalamazoo, MI)
Kansas State University (Manhattan, KS)
Kean University (Union, NJ)
Keene State College (Keene, NH)
Kennesaw State University (Kennesaw, GA)
Kent State University (Kent, OH)
Kentucky State University (Frankfort, KY)
Kentucky Wesleyan College (Owensboro, KY)
Keystone College (La Plume, PA)
King University (Bristol, TN)
King's College (Wilkes-Barre, PA)
Kutztown University of Pennsylvania (Kutztown, PA)
Kuyper College (Grand Rapids, MI)
LIU Brooklyn (Brooklyn, NY)
La Roche College (Pittsburgh, PA)
La Salle University (Philadelphia, PA)
Lafayette College (Easton, PA)
Lander University (Greenwood, SC)
Lane College (Jackson, TN)
Langston University (Langston, OK)
Lawrence Technological University (Southfield, MI)
Le Moyne College (Syracuse, NY)
LeMoyne&#8211;Owen College (Memphis, TN)
Lehigh University (Bethlehem, PA)
Lewis University (Romeoville, IL)
Lewis and Clark College (Portland, OR)
Lewis&#8211;Clark State College (Lewiston, ID)
