St. John's College (Annapolis, MD)
Reed College (Portland, OR)
Swarthmore College (Swarthmore, PA)
Amherst College (Amherst, MA)
Carleton College (Northfield, MN)
Bryn Mawr College (Bryn Mawr, PA)
St. John's College (Santa Fe, NM)
Yale University (New Haven, CT)
Thomas Aquinas College (Santa Paula, CA)
Princeton University (Princeton, NJ)
Bard College (Annandale on Hudson, NY)
Harvard University (Cambridge, MA)
Grinnell College (Grinnell, IA)
The University of Chicago (Chicago, IL)
Wesleyan University (Middletown, CT)
Pomona College (Claremont, CA)
Haverford College (Haverford, PA)
Vassar College (Poughkeepsie, NY)
Kenyon College (Gambier, OH)
Oberlin College (Oberlin, OH)
Williams College (Williamstown, MA)
University of Dallas (Irving, TX)
Sarah Lawrence College (Bronxville, NY)
Smith College (Northampton, MA)
Brown University (Providence, RI)
