Harvey Mudd College (Claremont, CA)
California Institute of Technology (Pasadena, CA)
Massachusetts Institute of Technology (Cambridge, MA)
Carnegie Mellon University (Pittsburgh, PA)
Rice University (Houston, TX)
Harvard University (Cambridge, MA)
University of Chicago (Chicago, IL)
Princeton University (Princeton, NJ)
Swarthmore College (Swarthmore, PA)
New Mexico Institute of Mining and Technology (Socorro, NM)
Reed College (Portland, OR)
Carleton College (Northfield, MN)
Williams College (Williamstown, MA)
Rose&#8211;Hulman Institute of Technology (Terre Haute, IN)
Haverford College (Haverford, PA)
Rensselaer Polytechnic Institute (Troy, NY)
Stanford University (Stanford, CA)
Pomona College (Claremont, CA)
Grinnell College (Grinnell, IA)
Amherst College (Amherst, MA)
Yale University (New Haven, CT)
Brown University (Providence, RI)
Whitman College (Walla Walla, WA)
Case Western Reserve University (Cleveland, OH)
Columbia University (New York, NY)
