Oklahoma Baptist University (Shawnee, OK): 94.07%
Vanguard University of Southern California (Costa Mesa, CA): 93.89%
Schreiner University (Kerrville, TX): 89.27%
Research College of Nursing (Kansas City, MO): 64.71%
Patrick Henry College (Purcellville, VA): 55.72%
Franklin W. Olin College of Engineering (Needham, MA): 55.52%
Stockton University (Galloway, NJ): 54.06%
Parsons The New School for Design (New York, NY): 52.59%
Fairfield University (Fairfield, CT): 51.98%
Trinity University (San Antonio, TX): 50.02%
The New School College of Performing Arts (New York, NY): 50%
Denison University (Granville, OH): 49.01%
Oberlin College (Oberlin, OH): 48.8%
Samford University (Birmingham, AL): 48.52%
Beacon College (Leesburg, FL): 47.73%
The Cooper Union for the Advancement of Science and Art (New York, NY): 46.56%
Hillsdale College (Hillsdale, MI): 45.68%
Furman University (Greenville, SC): 45.56%
University of Puget Sound (Tacoma, WA): 45.14%
San Francisco Art Institute (San Francisco, CA): 44.7%
Rhodes College (Memphis, TN): 43.98%
The University of the South (Sewanee, TN): 43.58%
Savannah College of Art and Design (Savannah, GA): 42.96%
Rose&#8211;Hulman Institute of Technology (Terre Haute, IN): 42.74%
University of Dayton (Dayton, OH): 42.45%
University of Denver (Denver, CO): 42.13%
Andrews University (Berrien Springs, MI): 41.49%
Centre College (Danville, KY): 40.04%
Tulane University (New Orleans, LA): 39.83%
Southern Methodist University (Dallas, TX): 39.74%
Eckerd College (St. Petersburg, FL): 39.6%
DePauw University (Greencastle, IN): 39.39%
Truman State University (Kirksville, MO): 38.85%
Marquette University (Milwaukee, WI): 38.38%
Birmingham&#8211;Southern College (Birmingham, AL): 38.3%
Illinois Institute of Technology (Chicago, IL): 37.83%
Beloit College (Beloit, WI): 37.75%
Calvin University (Grand Rapids, MI): 37.75%
University of Portland (Portland, OR): 37.68%
Butler University (Indianapolis, IN): 37.35%
