Swarthmore College (Swarthmore, PA)
Reed College (Portland, OR)
Harvard University (Cambridge, MA)
The University of Chicago (Chicago, IL)
Grinnell College (Grinnell, IA)
Bryn Mawr College (Bryn Mawr, PA)
Amherst College (Amherst, MA)
Macalester College (St. Paul, MN)
Oberlin College (Oberlin, OH)
Pomona College (Claremont, CA)
Carleton College (Northfield, MN)
Wesleyan University (Middletown, CT)
Williams College (Williamstown, MA)
Princeton University (Princeton, NJ)
Yale University (New Haven, CT)
St. John's College (Santa Fe, NM)
Haverford College (Haverford, PA)
Vassar College (Poughkeepsie, NY)
Brown University (Providence, RI)
Stanford University (Stanford, CA)
Wellesley College (Wellesley, MA)
Hampshire College (Amherst, MA)
Dartmouth College (Hanover, NH)
Beloit College (Beloit, WI)
Bard College (Annandale on Hudson, NY)
