Albion College (Albion, MI)
Alfred University (Alfred, NY)
American University (Washington, DC)
Babson College (Babson Park, MA)
Bard College (Annandale on Hudson, NY)
Baylor University (Waco, TX)
Beloit College (Beloit, WI)
Bentley University (Waltham, MA)
Boston College (Chestnut Hill, MA)
Boston University (Boston, MA)
Brandeis University (Waltham, MA)
Case Western Reserve University (Cleveland, OH)
Centre College (Danville, KY)
Clark University (Worcester, MA)
Clarkson University (Potsdam, NY)
Clemson University (Clemson, SC)
College of Charleston (Charleston, SC)
College of William and Mary (Williamsburg, VA)
Colorado College (Colorado Springs, CO)
Colorado School of Mines (Golden, CO)
Cornell College (Mount Vernon, IA)
Creighton University (Omaha, NE)
Davidson College (Davidson, NC)
DePaul University (Chicago, IL)
DePauw University (Greencastle, IN)
Denison University (Granville, OH)
Drake University (Des Moines, IA)
Drew University (Madison, NJ)
Drexel University (Philadelphia, PA)
Duke University (Durham, NC)
Duquesne University (Pittsburgh, PA)
Earlham College (Richmond, IN)
Eckerd College (St. Petersburg, FL)
Elizabethtown College (Elizabethtown, PA)
Elmira College (Elmira, NY)
Emerson College (Boston, MA)
Emory University (Atlanta, GA)
Fairfield University (Fairfield, CT)
Fordham University (New York, NY)
Franklin & Marshall College (Lancaster, PA)
Furman University (Greenville, SC)
Georgia Institute of Technology (Atlanta, GA)
Gettysburg College (Gettysburg, PA)
Goucher College (Baltimore, MD)
Grinnell College (Grinnell, IA)
Hampshire College (Amherst, MA)
Hartwick College (Oneonta, NY)
Hillsdale College (Hillsdale, MI)
Hobart and William Smith Colleges (Geneva, NY)
Hofstra University (Hempstead, NY)
Hope College (Holland, MI)
Illinois Wesleyan University (Bloomington, IL)
Ithaca College (Ithaca, NY)
Johns Hopkins University (Baltimore, MD)
Juniata College (Huntingdon, PA)
Kalamazoo College (Kalamazoo, MI)
Kenyon College (Gambier, OH)
Lafayette College (Easton, PA)
Lake Forest College (Lake Forest, IL)
Lawrence University (Appleton, WI)
Lehigh University (Bethlehem, PA)
Loyola University Maryland (Baltimore, MD)
Loyola University New Orleans (New Orleans, LA)
Macalester College (St. Paul, MN)
Marist College (Poughkeepsie, NY)
Marquette University (Milwaukee, WI)
Miami University &#8212; Oxford (Oxford, OH)
Michigan State University (East Lansing, MI)
Muhlenberg College (Allentown, PA)
New York University (New York, NY)
Northeastern University (Boston, MA)
Occidental College (Los Angeles, CA)
Ohio State University &#8212; Columbus (Columbus, OH)
Ohio Wesleyan University (Delaware, OH)
Pennsylvania State University &#8212; University Park (University Park, PA)
Pepperdine University (Malibu, CA)
Pitzer College (Claremont, CA)
Providence College (Providence, RI)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Rensselaer Polytechnic Institute (Troy, NY)
Rhodes College (Memphis, TN)
Rice University (Houston, TX)
Rochester Institute of Technology (Rochester, NY)
Rollins College (Winter Park, FL)
Rose&#8211;Hulman Institute of Technology (Terre Haute, IN)
Saint Anselm College (Manchester, NH)
Santa Clara University (Santa Clara, CA)
Sewanee: The University of the South (Sewanee, TN)
Southern Methodist University (Dallas, TX)
Southwestern University (Georgetown, TX)
St. John's College (Annapolis, MD)
St. John's College (Santa Fe, NM)
St. Lawrence University (Canton, NY)
St. Olaf College (Northfield, MN)
Stetson University (Deland, FL)
Stonehill College (Easton, MA)
Syracuse University (Syracuse, NY)
The Catholic University of America (Washington, DC)
The College of Wooster (Wooster, OH)
The George Washington University (Washington, DC)
The University of Texas at Austin (Austin, TX)
Transylvania University (Lexington, KY)
Trinity University (San Antonio, TX)
Tulane University (New Orleans, LA)
University of Chicago (Chicago, IL)
University of Dayton (Dayton, OH)
University of Delaware (Newark, DE)
University of Denver (Denver, CO)
University of Georgia (Athens, GA)
University of Kentucky (Lexington, KY)
University of Maryland, College Park (College Park, MD)
University of Massachusetts Amherst (Amherst, MA)
University of Memphis (Memphis, TN)
University of Miami (Coral Gables, FL)
University of Missouri &#8212; Columbia (Columbia, MO)
University of New Hampshire (Durham, NH)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Pittsburgh (Pittsburgh, PA)
University of Redlands (Redlands, CA)
University of Richmond (University of Richmond, VA)
University of Rochester (Rochester, NY)
University of San Diego (San Diego, CA)
University of Scranton (Scranton, PA)
University of South Carolina &#8212; Columbia (Columbia, SC)
University of Southern California (Los Angeles, CA)
University of Virginia (Charlottesville, VA)
University of the Pacific (Stockton, CA)
Ursinus College (Collegeville, PA)
Valparaiso University (Valparaiso, IN)
Vanderbilt University (Nashville, TN)
Villanova University (Villanova, PA)
Wake Forest University (Winston Salem, NC)
Washington University in St. Louis (St. Louis, MO)
Washington and Lee University (Lexington, VA)
Wheaton College (Wheaton, IL)
Wheaton College (Norton, MA)
Whittier College (Whittier, CA)
Willamette University (Salem, OR)
Wittenberg University (Springfield, OH)
Worcester Polytechnic Institute (Worcester, MA)
Xavier University (Cincinnati, OH)
