Albany State University (Albany, GA)
Bard College (Annandale on Hudson, NY)
Clemson University (Clemson, SC)
Cornell University (Ithaca, NY)
DePaul University (Chicago, IL)
Emerson College (Boston, MA)
Hampshire College (Amherst, MA)
Harvard University (Cambridge, MA)
Loyola University Chicago (Chicago, IL)
Miami University &#8212; Oxford (Oxford, OH)
New York University (New York, NY)
Reed College (Portland, OR)
School of Visual Arts (New York, NY)
Skidmore College (Saratoga Springs, NY)
South Texas College (McAllen, TX)
Stanford University (Stanford, CA)
Stephens College (Columbia, MO)
University of Alabama, Birmingham (Birmingham, AL)
University of California, Berkeley (Berkeley, CA)
University of Louisiana at Lafayette (Lafayette, LA)
University of Massachusetts Amherst (Amherst, MA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of South Carolina &#8212; Columbia (Columbia, SC)
University of Vermont (Burlington, VT)
Vanderbilt University (Nashville, TN)
Vassar College (Poughkeepsie, NY)
Washington University in St. Louis (St. Louis, MO)
Webster University (St. Louis, MO)
