Ball State University (Muncie, IN)
Brigham Young University &#8212; Provo (Provo, UT)
California State University &#8212; Long Beach (Long Beach, CA)
California State University &#8212; Northridge (Northridge, CA)
Erskine College (Due West, SC)
George Mason University (Fairfax, VA)
Grand Canyon University (Phoenix, AZ)
Harvard University (Cambridge, MA)
Indiana University &#8212; Purdue University Fort Wayne (Fort Wayne, IN)
Lewis University (Romeoville, IL)
Limestone College (Gaffney, SC)
Lindenwood University (St. Charles, MO)
Loyola University Chicago (Chicago, IL)
Ohio State University &#8212; Columbus (Columbus, OH)
Pennsylvania State University &#8212; University Park (University Park, PA)
Pepperdine University (Malibu, CA)
Pfeiffer University (Misenheimer, NC)
Quincy University (Quincy, IL)
Stanford University (Stanford, CA)
The University of Mount Olive (Mount Olive, NC)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of California, Irvine (Irvine, CA)
University of California, Santa Barbara (Santa Barbara, CA)
University of Hawaii at Manoa (Honolulu, HI)
University of Southern California (Los Angeles, CA)
