Benedictine University (Lisle, IL)
California Lutheran University (Thousand Oaks, CA)
Calvin University (Grand Rapids, MI)
Central College (Pella, IA)
Christopher Newport University (Newport News, VA)
Elmhurst College (Elmhurst, IL)
Emory University (Atlanta, GA)
Hope College (Holland, MI)
Juniata College (Huntingdon, PA)
New York University (New York, NY)
Ohio Northern University (Ada, OH)
Trinity University (San Antonio, TX)
University of California, San Diego (La Jolla, CA)
University of La Verne (La Verne, CA)
University of St. Thomas (St. Paul, MN)
University of Wisconsin &#8212; Oshkosh (Oshkosh, WI)
University of Wisconsin &#8212; Whitewater (Whitewater, WI)
Washington University in St. Louis (St. Louis, MO)
Wittenberg University (Springfield, OH)
