Agnes Scott College (Decatur, GA)
Alverno College (Milwaukee, WI)
Assumption College for Sisters (Mendham, NJ)
Barnard College (New York, NY)
Bay Path College (Longmeadow, MA)
Bennett College (Greensboro, NC)
Blue Mountain College (Blue Mountain, MS)
Brenau University (Gainesville, GA)
Bryn Mawr College (Bryn Mawr, PA)
Carlow University (Pittsburgh, PA)
Cedar Crest College (Allentown, PA)
College of Saint Elizabeth (Morristown, NJ)
College of St. Benedict (St. Joseph, MN)
College of St. Mary (Omaha, NE)
Columbia College (Columbia, SC)
Converse College (Spartanburg, SC)
Cottey College (Nevada, MO)
Georgian Court University (Lakewood, NJ)
Hollins University (Roanoke, VA)
Judson College (Marion, AL)
Meredith College (Raleigh, NC)
Midway College (Midway, KY)
Mills College (Oakland, CA)
Moore College of Art and Design (Philadelphia, PA)
Mount Holyoke College (South Hadley, MA)
Mount Mary College (Milwaukee, WI)
Mount Saint Mary's University (Los Angeles, CA)
Notre Dame of Maryland University (Baltimore, MD)
Pine Manor College (Chestnut Hill, MA)
Rosemont College (Rosemont, PA)
Russell Sage College (Troy, NY)
Rutgers, the State University of New Jersey &#8212; New Brunswick (Piscataway, NJ): Douglass College of Rutgers
Saint Mary's College (Notre Dame, IN)
Salem College (Winston-Salem, NC)
Scripps College (Claremont, CA)
Simmons College (Boston, MA)
Smith College (Northampton, MA)
Spelman College (Atlanta, GA)
St. Catherine University (St. Paul, MN)
St. Mary&#8211;of&#8211;the&#8211;Woods College (St.Mary-of-the-Woods, IN)
Stephens College (Columbia, MO)
Sweet Briar College (Sweet Briar, VA)
Texas Woman's University (Denton, TX)
Trinity Washington University (Washington, DC)
Tulane University (New Orleans, LA): Nemcomb College of Tulane
University of Denver (Denver, CO): Colorado Women's College
University of Saint Joseph (West Hartford, CT)
Ursuline College (Pepper Pike, OH)
Wellesley College (Wellesley, MA)
Wesleyan College (Macon, GA)
Wilson College (Chambersburg, PA)
