Kenyon College (Gambier, OH): 1969
Princeton University (Princeton, NJ): 1969
Trinity College (Hartford, CT): 1969
Yale University (New Haven, CT): 1969
Colgate University (Hamilton, NY): 1970
Johns Hopkins University (Baltimore, MD): 1970
University of Virginia (Charlottesville, VA): 1970
Williams College (Williamstown, MA): 1970
Bowdoin College (Brunswick, ME): 1971
Brown University (Providence, RI): 1971
Lehigh University (Bethlehem, PA): 1971
College of the Holy Cross (Worcester, MA): 1972
Dartmouth College (Hanover, NH): 1972
Davidson College (Davidson, NC): 1972
Duke University (Durham, NC): 1972
Amherst College (Amherst, MA): 1975
Wofford College (Spartanburg, SC): 1975
Claremont McKenna College (Claremont, CA): 1976
United States Military Academy (West Point, NY): 1976
Harvard University (Cambridge, MA): 1977
Haverford College (Haverford, PA): 1980
Washington and Lee University (Lexington, VA): 1985
Rose&#8211;Hulman Institute of Technology (Terre Haute, IN): 1991
Virginia Military Institute (Lexington, VA): 1997
Valley Forge Military College (Wayne, PA): 2006
