Vassar College (Poughkeepsie, NY): 1967
Sarah Lawrence College (Bronxville, NY): 1968
Bennington College (Bennington, VT): 1969
Connecticut College (New London, CT): 1969
Pitzer College (Claremont, CA): 1971
Skidmore College (Saratoga Springs, NY): 1971
Salve Regina University (Newport, RI): 1972
Albertus Magnus College (New Haven, CT): 1985
Goucher College (Baltimore, MD): 1986
University of St. Mary (Leavenworth, KS): 1988
Wheaton College (Norton, MA): 1990
Colby&#8211;Sawyer College (New London, NH): 1991
Brenau University (Gainesville, GA): 1997
Endicott College (Beverly, MA): 1997
Elms College (Chicopee, MA): 1998
Fisher College (Boston, MA): 1998
Lasell College (Newton, MA): 1998
Emmanuel College (Boston, MA): 2001
Notre Dame College of Ohio (Cleveland, OH): 2001
Hood College (Frederick, MD): 2002
Seton Hill University (Greensburg, PA): 2002
Chestnut Hill College (Philadelphia, PA): 2003
Regis College (Weston, MA): 2004
Immaculata University (Immaculata, PA): 2005
Lesley University (Cambridge, MA): 2005
Wells College (Aurora, NY): 2005
Randolph&#8211;Macon College (Ashland, VA): 2007
William Woods University (Fulton, MO): 2007
